stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
8558,1,יוסף קארו/ בן איש חי,כתובת:  בית שמש,31.744418,35.000255
8559,2,בריכת שחיה,כתובת:  נווה שלום,31.816647,34.976659
8560,3,ישיבת הרי יהודה,כתובת:  בית מאיר,31.793758,35.036962
8561,4,יער-הנשיא,כתובת:44  מטה יהודה,31.787892,34.994149
8562,16,כביש-343,כתובת:  ירושלים,31.734310,35.236640
8563,17,כביש-353,כתובת:  ירושלים,31.734810,35.236511
8564,18,כביש-352,כתובת:  ירושלים,31.727822,35.239098
8565,19,כביש-350,כתובת:  ירושלים,31.727477,35.239195
8566,20,כביש-345,כתובת:  ירושלים,31.727822,35.239098
8567,21,כביש-351,כתובת:  ירושלים,31.727605,35.239099
8568,22,כביש-344,כתובת:  ירושלים,31.732004,35.238281
8569,23,כביש-354,כתובת:  ירושלים,31.732004,35.238281
8570,24,צומת חולדה,כתובת:3  מא גזר,31.811213,34.900967
8571,25,כביש-329,כתובת:  ירושלים,31.736038,35.236575
8572,26,כביש-342,כתובת:  ירושלים,31.735620,35.236619
8573,27,סור באהר 20,כתובת:  ירושלים,31.737106,35.236646
8574,28,סור באהר 19,כתובת:  ירושלים,31.737128,35.236673
8575,29,סור באהר 22,כתובת:  ירושלים,31.738116,35.237195
8576,30,סור באהר 21,כתובת:  ירושלים,31.737977,35.237169
8577,31,סור באהר 17,כתובת:  ירושלים,31.739664,35.236965
8578,32,סור באהר/אשר וינר,כתובת:  ירושלים,31.740150,35.236723
8579,33,אום לסון/צור באהר 1,כתובת:  ירושלים,31.741054,35.235072
8580,34,סור באהר 24,כתובת:  ירושלים,31.741158,35.234705
8581,35,סור באהר 15,כתובת:  ירושלים,31.736801,35.234176
8582,36,אום טובא 11,כתובת:  ירושלים,31.736623,35.232941
8583,37,אום טובא 10,כתובת:  ירושלים,31.736469,35.232784
8584,38,סור באהר 23,כתובת:אשר וינר  ירושלים,31.742018,35.232837
8585,39,אשר וינר/לייב יפה,כתובת:אשר וינר  רמת רחל,31.742614,35.220261
8586,40,סור באהר 14,כתובת:  ירושלים,31.731894,35.224389
8587,41,סור באהר 13,כתובת:  ירושלים,31.732438,35.225671
8588,42,סור באהר 12,כתובת:  ירושלים,31.732675,35.225683
8589,43,סור באהר 10,כתובת:  ירושלים,31.735942,35.226668
8590,44,סור באהר 9,כתובת:  ירושלים,31.736202,35.227119
8591,45,סור באהר 8,כתובת:  ירושלים,31.736625,35.228959
8592,46,סור באהר 7,כתובת:  ירושלים,31.736432,35.229595
8593,47,סור באהר 2,כתובת:  ירושלים,31.736360,35.231152
8594,48,אום טובא 3,כתובת:  ירושלים,31.727944,35.233854
8595,49,אום טובא 4,כתובת:  ירושלים,31.729976,35.233430
8596,50,אום טובא 6,כתובת:  ירושלים,31.732705,35.231478
8597,51,אום טובא 7,כתובת:  ירושלים,31.733521,35.230640
8598,52,אום טובא 9,כתובת:  ירושלים,31.735413,35.231971
8599,53,סור באהר 1,כתובת:דרך סור באהר  ירושלים,31.736448,35.231360
8600,54,דרך סור באהר,כתובת:דרך סור באהר  ירושלים,31.737003,35.230214
8601,55,סור באהר 3,כתובת:דרך סור באהר  ירושלים,31.737441,35.229792
8602,56,שדרות גולדה/אליפז,כתובת:שמואל הנביא 113 ירושלים,31.796645,35.218997
8603,62,צומת נחשון,כתובת:3  מטה יהודה,31.816105,34.917686
8604,63,בקוע ה,כתובת:  בקוע,31.831395,34.928190
8605,64,בקוע א,כתובת:  בקוע,31.831955,34.927248
8606,65,בקוע ב,כתובת:  בקוע,31.831345,34.925095
8607,66,בקוע ג,כתובת:  בקוע,31.829913,34.925655
8608,67,בקוע ד,כתובת:  בקוע,31.827745,34.928193
8609,68,בקוע,כתובת:  בקוע,31.825219,34.929828
8610,69,סור באהר 5,כתובת:דרך סור באהר  ירושלים,31.738357,35.228721
8611,70,בריכת שחיה,כתובת:  נווה שלום,31.816608,34.976641
8612,71,מחלף בקוע,כתובת:יציאה לכביש 3  מטה יהודה,31.824126,34.929968
8613,72,צומת נחשון,כתובת:44  מא גזר,31.815745,34.915577
8614,73,רמות מחסום,כתובת:שדרות גולדה מאיר  ירושלים,31.825309,35.188675
8615,76,סור באהר 4,כתובת:דרך סור באהר  ירושלים,31.738357,35.228722
8616,77,סור באהר 6,כתובת:דרך סור באהר  ירושלים,31.738565,35.226492
8617,78,שרי ישראל/יפו,כתובת:שדרות שרי ישראל 15 ירושלים,31.789175,35.206093
8618,83,גבל בטן-צומת 1,כתובת:  ירושלים,31.766342,35.240413
8619,84,מלכי ישראל/טורים,כתובת:מלכי ישראל  ירושלים,31.790765,35.210228
8620,85,גבל בטן/בית ספר בנים,כתובת:  ירושלים,31.768640,35.238563
8621,86,מגרש כדור רגל,כתובת:  ירושלים,31.769839,35.239730
8622,87,עליה למגרש כדור רגל,כתובת:  ירושלים,31.769661,35.241242
8623,88,בית ספר בנות/גבל בטן,כתובת:  ירושלים,31.767091,35.238484
8624,89,וואדי קדום 8,כתובת:  ירושלים,31.765166,35.247205
8625,90,מתצ תמיר/שדרות גולדה,כתובת:שדרות גולדה מאיר  ירושלים,31.799685,35.212775
8626,91,וואדי קדום 7,כתובת:  ירושלים,31.765720,35.247155
8627,93,חוש סלימה 1,כתובת:  ירושלים,31.767229,35.246560
8628,94,חוש סלימה 2,כתובת:  ירושלים,31.767116,35.246693
8629,95,אלעימארא אלגדידה,כתובת:  ירושלים,31.768763,35.243733
8630,96,שכונת בזבז 1,כתובת:  ירושלים,31.769854,35.243825
8631,97,שכונת בזבז 2,כתובת:  ירושלים,31.770014,35.243532
8632,98,בר אילן/ברוכים,כתובת:בר אילן 26 ירושלים,31.794190,35.216623
8633,99,שדרות גולדה מאיר/אסירי ציון,כתובת:שדרות גולדה מאיר  ירושלים,31.814884,35.196043
